inputs,outputs
is it dry in fresno right now?,it is misty in fresno right now.
"where can i get coffee there is palo alto cafe Palo_Alto_Cafe_distance away or, if you prefer, philz 6 miles away give me the address of philz. philz is at 583 alester ave. thanks so much. is that the fastest route available?",no actually there is another coffee shop that's just two miles away. it's called palo alto cafe and located at Palo_Alto_Cafe_address.
"i need directions to my house and avoid all heavy traffic home is listed at 5671 barringer street and home_traffic_info is noted.  can you put the route up on the screen please. setting directions now to home, home_distance away.  thank you.",you're welcome.
get me the weather forecast for the next 7 days what city do you want the weather for? inglewood,"inglewood should be 40-60f monday to wednesday, 90-100f thursday, 30-40f friday and inglewood_sunday, and 70-90f saturday."
remind me i have a doctors appointment on the 12th at 5 pm,"okay, setting reminder for doctor's appointment on the 12th at 5pm."
what time and date is my next yoga activity? your next yoga activity is scheduled for yoga_activity_date at 2pm. thank you.,you're welcome
locate a place that serves pizza.,there is a pizza chicago and round table.
i need the fastest route home.,here is the fastest route home.
"please give me the address and directions via the shortest distance to a rest stop around here.  the comfort inn is Comfort_Inn_distance away at 753 university ave, there is no traffic on this route awesome, thanks",you're welcome
"can you find me the fastest route to a parking garage? dish parking  is Dish_Parking_distance away. is there nothing else in the area? no, that is it. ok send me the address then please.","the address is Dish_Parking_address, now you can see it on your map as well"
"find me somewhere to park you can park at palo alto garage r located at Palo_Alto_Garage_R_address.  is that the quickest route? there is a Palo_Alto_Garage_R_traffic_info on the 8 mile route to the garage, but it's your closest option. shall i set directions there?  yes, please set directions via a quick route.  the route available is the quickest one thank you.",you're welcome; drive carefully.
what's the weekly forecast what city would you like to know the weekly forecast for? is it going to be dry in san jose this week?,it will be dry in san jose on san_jose_tuesday.
check to see if i have any meetings or conferences in the near future,go over budget is scheduled for meeting_date at 3pm in 100 conference room.
what is the forecast for this week what city do you want the forecast for? is it going to be hot this week? in los angeles?,tuesday and los_angeles_wednesday should be hot days in los angeles this week with highs in the 90s and 100s
schedule my dentist appointment on the 12th,what time would you like to schedule your appointment?
how hot is it going to be this week which location did you want temperature information for? durham please,the high for this week is 80f in durham
"can you please take me to a coffee house there is philz Philz_distance away or palo alto cafe 3 miles from here: which one do you prefer? the one with the quickest route which looks like philz.  yes, philz is the nearest one. set the navigation at its address Philz_address? yes please.  navigation set to Philz_address. anything else? that's it, thank you car!",you're welcome!
"car i'm desiring to do some shopping: which one is it the nearest shopping center? anything within 4 miles? sorry, town and country is the nearest one at Town_and_Country_distance. ok what is the address? Town_and_Country_address is the address for town and country thanks!",you're welcome!
you tell me if the forecast for the next week calls for it to be above 86 degrees on any day,what city are you inquiring about?
"schedule a tennis activity for 3 pm on saturday with my father. okay, i am scheduling a tennis activity with your father on saturday at 3pm. thank you.",you are very welcome.
car is it going to snow today,what city do you want the forecast for?
what is the weather like today,what location do you want the weather for?
what time is my doctors appointment and who is attending?,you have two doctors appointments scheduled; one with alex at 4 pm on the 20th and one with jon at 7 pm on sunday.
what is the weather like today,what city would you like the weather forecast for?
what is the weather forecast in the city which city are you asking about? i'm going to corona what day are you wanting the forecast for corona? i need the forecast for the whole week if possible. corona is going to be fairly cold at the beginning of the week with a blizzard in the forecast and rain. the end of the week looks stormy but warmer.  thanks so much for the information.,you're welcome. have a great day.
check the weather for today where are you located? i am in san mateo.,"today in san mateo is gonna be drizzle, with low temperature of 20f, and high of 40f"
what's the forecast going to be for today and tomorrow what city would you like the weather forecast for? i need to know if there will be frost in durham for today and tomorrow car.,there will be no frost in durham today or tomorrow.
where can i get chinese food? there is a p.f. changs P.F._Changs_distance away. what is the address?,p.f. changs is located at P.F._Changs_address.
is there a place that serves coffee near me?,there is a philz coffee Philz_distance away.
what is the weather like today in tomorrow,what city should i look in?
is it going to rain today,what city would you like me to find out about rain in?
what is the weather going to be like tomorrow show me the 7 day forecast where do you need the forecast for? i'm in san jose.,it will be snowy in san jose tomorrow.
will it be overcast in new york during the week?,it's not gonna be overcast this week in new york
i need to find a gas station that fast to get to. there is a chevron near. how close is it and where is it located?,chevron is Chevron_distance away and located at 783 arcadia pl.
i'm in need of coffee: is there any near my current location? starbucks and teavana are close. which is closer?,teavana is 3 miles away with heavy traffic and starbucks is Starbucks_distance with moderate traffic. which do you prefer?
will it drizzle in los angeles today?,it will not drizzle in los angeles today.
"car i need to buy groceries: is there any grocery store on our way? the hacienda market is 2 miles away in heavy traffic. would you like directions there? alternately there is the sigona farmers market, Sigona_Farmers_Market_distance away. is there traffic on the route to sigona farmers market? if not, please direct me there.  there is Sigona_Farmers_Market_traffic_info at all, i sent its position and the route to follow on your screen ok, that works, thank you car assistant",you're very welcome!
check weather for new york city,what time period are you interested in?
where is the nearby hospital? palo alto medical foundation	is at Palo_Alto_Medical_Foundation_address. thanks!,you're welcome.
get me directions to the nearest shopping mall we're Stanford_Shopping_Center_distance away from stanford shopping center but there is a road block nearby i wish we could avoid the traffic but i guess this will do. what's the address?,"the address is Stanford_Shopping_Center_address, i sent on your screen the route to reach there"
what is today's weather forecast,what city would you like the forecast for?
what is the time and location of my next conference and who will be attending it? your next conference is at 9am with conference_party at conference room 100. would you like to know the date as well? yes please. thank you.,it's at on conference_date. you're welcome.
navigate to the nearest place to get coffee,we are Cafe_Venetia_distance away from cafe venetia but there is heavy traffic on our way
what is the current high temperature in atherton?  the current high in atherton is 90f. thank you,you're welcome.
"can you give me directions to the nearest starbucks the nearest starbucks is Starbucks_distance away at 792 bedoin street. that's good, pick a route to avoid all heavy traffic please","there is Starbucks_traffic_info in this moment, i've set the navigation there"
"car i need to get to my friends house, it should be within jacks_house_distance from here jacks house is jacks_house_distance away at 864 almanor ln. set my navigation to jacks for the shortest route possible. setting navigation now.  thanks.",you're welcome and be careful.
"car i need to fill your gas, please show me a gas station near me in the direction we're actually driving there is a valero Valero_distance away. what is the address?",valero is at Valero_address.
get directions to home home is 5 miles away at 5671 barringer street.  i need a route with no traffic please.  the only route i have has a lot of traffic. it is 5 miles away. i will try my best to avoid the traffic.  thanks. i hope we miss most of it.,"you're welcome, i hope so too"
what is the forecast in my city in which city are you now? i'm in inglewood. which one is it the weather forecast for the next two days?,in inglewood it's gonna be foggy today and there will be dew on inglewood_tuesday
"where are the rest stops near me? we're Comfort_Inn_distance away from comfort inn: do you want to go there? is that the quickest route to one? that is only Comfort_Inn_distance away with moderate traffic.  thanks can you show me the address please? the address is Comfort_Inn_address, i sent it on your map. may i do anything else for you? no that's it. thanks for the help.",you're welcome; drive safely.
"what is the temperature what city are you inquiring about. grand rapids, please. which one will be the temperature on grand_rapids_sunday? grand_rapids_sunday's temperature in grand rapids is predicted to have a high of 90f and a low of 80f thank you.",you're welcome!
tell me if there will be frost in cleveland the next 7 days? cleveland's weather forecast does not predict any frost over the next 7 days thank you.,you are very welcome
show me this week's forecast what location do you want the weather for? will it be foggy in danville? during the next week it's not gonna be foggy in danville. thanks,no problem!
how warm is it outside right now what city are you inquiring about? compton,"today in compton the low temperature in 90f and the high is 100f, it's not just warm, it's hot."
"when is yoga, and who is going? you have yoga activities on yoga_activity_date, 8th, and thursday, which one are you interested in? the one on yoga_activity_date. your father will be attending your yoga activity on yoga_activity_date with you. ok what time is that yoga activity?",yoga with your father on yoga_activity_date is scheduled at 5 pm.
"i need to find the shortest route to the hospital. sorry it appears the nearest hospital is Palo_Alto_Medical_Foundation_distance away. palo alto medical foundation is located at 611 ames ave with heavy traffic noted.  can you send me the directions? palo alto medical foundation is located at Palo_Alto_Medical_Foundation_address thank you car, please pick the route with the shortest distance to reach there!",i sent the route on your map. you're welcome!
find the nearest gas station near my currently location. there is a valero nearby. can you get me the address please?,valero is at Valero_address.
check the weather forecast for what city should i check the weather forecast for? check durham. what would you like to know about the weather in durham? will it be warm in the next two days?,"the next two days will be warm, one will be hot with a low of 90f and a high of 100f and the other will be cloudy, low of 80f with a high of 90f"
"schedule a optometrist appointment with my aunt on tuesday august 8th at 10 am.  i am scheduling you an appointment with the optometrist on tuesday august 8th at 10 am, your aunt will be attending. that is perfect.",glad i could help.
"what is the weather for today what city do you want the weather for? downtown chicago in chicago, it should be 40-50f and snowing today. thank you so much car!",you are welcome!
will there be clear skies in redwood city next week?,there will not be clear skies in redwood city next week.
"where can i get chinese food? mandarin roots and chef chu's are both close. which one has the shortest distance? mandarin roots is closer. okay great, can i have the address?","sure, the address is 271 springer street, we're Mandarin_Roots_distance away, i sent its position on your map"
"any chinese restaurant around me? there is a pf changs located within 5 miles of you.  how is the traffic? unfortunately there is heavy traffic on its direction ok, please direct me via the fasted available route.  i sent the route on your screen, enjoy your trip! thank you car!",you're welcome!
"i need the quickest route to a rest stop. i am so tired. the westin is at The_Westin_address which is only a mile away.  that's good, thank you car, let's go there! you're welcome please set directions via the quickest route, and thanks again.  pulling up route on screen. [end conversation]",no problem
what are some nearby hotels,i have one hotel listed Hotel_Keen_distance away. what info would you like on it?
what's the seven day forecast for new york city,"the forecast for new york predicts a week with drizzles, overcast  and clear skies with dry and humid temperatures."
find what time my lab appointment is for,"you have 3 appointments doctor, optometrist and dentist"
what is the weather like in new york city,what would you like to know about the weather in new york city?
"take me to the nearest hotel the nearest hotel is the westin, The_Westin_distance away give me directions. navigating you to the westin. give me the address. the westin is at The_Westin_address. thank you car, just pick the fastest route and let's go there the fastest route has The_Westin_traffic_info. setting gps now. thank you car!",you are welcome.
give me the forecast for the next 7 days,what city would you like to hear the 7 day forecast for?
directions to the grocery store there is one nearby grocery store which is whole foods on Whole_Foods_address. is that acceptable?  is it within 3 miles from my current location?,yes it is only Whole_Foods_distance away.
directions to a hotel please.  the westin is located The_Westin_distance away and the hotel keen 6 miles away. would you like directions to one of those? give me the quickest route to the westin please.,"there is The_Westin_traffic_info, would you like me to put it on your screen?"
is it going to rain this week,which city are you interested in?
find me chinese food.,there is a mandarin roots near.
what's the weather going to be like today and tomorrow what city do you want the weather for? will it be raining in inglewood today or tomorrow? no rain is in the forecast for inglewood for today or tomorrow.  thank you.,you're welcome.
"schedule a optometrist appointment with tom today at 7pm. no problem, scheduling a optometrist appointment with tom for 7pm. do you have a specific date in mind? yes, today.  setting reminder for today at 7 pm for optometrist appointment with tom.  thanks.",you're welcome
show me all information regarding my upcoming dentist appointment.,your dentist appointment is on dentist_appointment_date at 10 am with your mother.
"find me a tea house we're Starbucks_distance away from starbucks: do you want me to highlight its position on the map? yes, give me the address. the address is 792 bedoin street, i sent it on your map. there is Starbucks_traffic_info and you should be able to reach there in few minutes thank you very much car!",you're welcome!
what time is my tennis activity?,"you have 3 upcoming tennis activities, the 13th at 7pm, sunday at 3pm, and tennis_activity_date at 4pm."
will it rain next week,what city are you interested in?
get me directions to the nearest coffee shop,the nearest coffee shop is Coupa_distance away. would you like the name and address of it?
what time and date is my doctor appointment?,two doctor appointments are set in your calendar; one on the 1st on 6 pm and one on doctor_appointment_date at 2 pm.
what is the weather going to be like today and tomorrow,what city do you want to hear today and tomorrow's weather for?
take me to a place where i can get some hot tea,there is a peets coffee and a teavana close by.
is snow forecasted this week,what city do you want to find out if it is snowing in?
"directions to a hotel please.  the westin is located The_Westin_distance away and the hotel keen 6 miles away. would you like directions to one of those? give me the quickest route to the westin please.  there is The_Westin_traffic_info, would you like me to put it on your screen? yes, please. setting route now. thank you car, please pick the shortest distance!","i did! enjoy your trip now, you're welcome!"
what is the chance of rain next week,what city are you wanting to know if it's going to rain?
"find me the quickest route to the gas station.  there is a chevron Chevron_distance away. is chevron the closest? if so send me the address. chevron is the closest at Chevron_address. then pick a quick route and let's go there, thank you!",taking you to chevron.
"tell me about my lab appointment your lab appointment is with your father on lab_appointment_date at 5 pm great, thank you so much!",you are welcome
what day is the football activity and who is coming?,you currently have three football activities scheduled. one is on monday and martha will be attending. the other i on football_activity_date and you sister will be attending. the last is on the 8th and your aunt will be attending.
what's the weather like in grand rapids,what would you like to know about the weather in grand rapids?
where do i live?,your home address is home_address.
"i need directions to the restaurant chef chu's is the closest restaurant, would you like the address? yes.",chef chu's is located at 593 arrowhead way which is Chef_Chu's_distance away.
"what time and date is my conference and what is the agenda? which one? i have two, one on monday at 7pm to discuss dress code, and one on conference_date at 11 am to discuss dress code.  it was the one on conference_date, thank you!",you are welcome.
give me directions to some nearby hotels,we're The_Clement_Hotel_distance away from the clement hotel: send you its address on screen?
are there any hospitals near me,palo alto medical foundation	is Palo_Alto_Medical_Foundation_distance away.
when is my doctor's appointment? your doctor's appointment is monday at 1 pm.  okay wonderful. thanks!,no problem
what is the date of my next dinner event and who will be attending? your next dinner event is with your father on dinner_date. thanks.,glad i can help assist you.
i have an eye doctors appointment on the 12th at 5 pm,ok setting reminder for your eye doctor appointment on the 12th at 5
could you tell me what day and time my meeting is on?  your meeting is set for meeting_date at 4pm. what is the agenda?,the purpose of your meeting on meeting_date at 4 pm is to go over the quarterly report.
"schedule dinner with my sister please.  for what date and time? please set it for the 15th of this month at 2pm great, i have that all set up for you. can i help with anything else? that is all my car, thanks.",you're welcome
find a parking garage. there is 2 local parking garage's; both are Stanford_Oval_Parking_distance away. palo alto garage has moderate traffic and stanford oval has no traffic. which one do you prefer? stanford oval please.,"alright, stanford oval parking is located at Stanford_Oval_Parking_address"
give me directions to my friends house,jill lives at 347 alta mesa ave which is 5 miles away.
will it be overcast in alameda on alameda_monday?,on alameda_monday it's gonna be foggy in alameda
"car i'd like to have some coffee, please show me the closest cafe","the nearest is philz, 1 mile away, at Philz_address. would you like directions there?"
"schedule a conference at 1 pm with management.  okay, i am now scheduling a conference with management for 1pm? would you like to set a specific date as well? today. thanks!",happy to help
what is the weather like today and tomorrow,in what city would you like to know the weather?
"where is the closest place to eat there is a pizza restaurant 3 miles away and a couple chinese restaurants a little farther. what would you like to eat? chinese please.  panda express is Panda_Express_distance away in heavy traffic, and chef chu's is 8 miles away but there is a road block nearby. which of these do you prefer? let's go at panda to avoid all Panda_Express_traffic_info nearby chef chu","i sent the directions to reach panda express on your screen, enjoy the trip!"
"set a reminder for a lab appointment at 6 pm on sunday, august 8th with sister.  okay, scheduling a lab appointment with your sister for sunday, august 8th at 6pm. thanks.",you're welcome.
schedule a meeting.,when is your meeting?
"i need directions to a local fast food restaurant please there is pizza hut Pizza_Hut_distance away: would it be good for your hunger? yes, give me the address.",the address to pizza hut is Pizza_Hut_address.
will there be dew in danville today?,today's weather forecast in danville calls for stormy weather.
"what is the weather forecast for exeter_wednesday through tuesday of next week what city do you want to hear the weather for? exeter, please: there will be any blizzard?",there will be no blizzards in exeter next week.
what's the temperature what city would you like to hear the temperature about? find out what the temperature will be like in downtown chicago for the next few days the temperature in downtown chicago it's gonna be between 30f and 40f on monday and between 60f and 90f from tuesday to downtown_chicago_friday. the weekend will be cold again thank you car!,you're welcome!
i need directions to a local fast food restaurant please,dominos at Dominos_address is located near you.
how do i get to the nearest restaurant,"the closest restaurant is panda express, would you like directions?"
i need to schedule tennis with jon.  when shall i set the reminder for tennis with jon? on the 15th at 1 pm,"okay great, i have that scheduled for you on the 15th with jon."
"will it be cloudy in los angeles on los_angeles_thursday? it's not gonna be cloudy in los angeles on los_angeles_thursday, the weather forecast calls for hail thank you you are welcome. bye.",you're welcome.
"please give me the high temperature for new york for the next seven days.  the high next week in new york will be 100f. excellent, thanks a lot.",happy to help
"i need a parking garage that is in the 2 mile range. there are none within 2 miles. what is the closest? the closest is palo alto garage r which is Palo_Alto_Garage_R_distance away.  sounds good, set the navigation for there please.","navigation set, have a great day."
i'm really in need of coffee: is there anything with Starbucks_traffic_info between my coffee and me? starbucks is Starbucks_distance away with no traffic. what is the address?,starbucks is at Starbucks_address.
schedule a meeting for 6 pm with hr,"setting a reminder for your meeting with hr at 6 pm, what day is this meeting held on?"
"give me this week's high temperature what city do you want the weather for? give me the temperature in downtown chicago for the week. in chicago, it will be 90-100f monday, wednesday, and friday.  on tuesday and thursday it will be 60-80f, saturday will be 30-40f, and downtown_chicago_sunday will be 70-80f. perfect.",you are welcome.
"what is the time, location, and agenda of my next conference?",your next conference is with management on monday at 6 pm to discuss the company picnic in conference_room.
what is the weather like in boston what would you like to know about boston's weather? what is the highest temperature?,"boston_sunday is predicted to have the week's highest temperature in boston, at 100f"
tell me if there will be frost in cleveland the next 7 days?,cleveland's weather forecast does not predict any frost over the next 7 days
what time is my dentist appointment,your dentist appointment is at 10am.
what grocery stores are here? there is a safeway Safeway_distance away. what is the address?,safeway is at Safeway_address.
when is my next dental appointment your next dental appointment is on monday at 3 pm. thank you,you are very welcome
"what is the location, date, and agenda of my meeting? you have two meetings, one on meeting_date and one on the 7th. which one do you want more information about? the one on meeting_date.",the meeting on meeting_date is at conference room 102 to discuss the quarterly report.
please give me directions to 5677_springer_street_address navigating you to 5677_springer_street_address. is that route without traffic?,"yes, the current route has 5677_springer_street_traffic_info."
schedule swimming tomorrow at 2 with my brother,"scheduling a swimming activity at 2 pm with your brother, what day should i add this?"
give me directions to the nearest shopping center,we are Stanford_Shopping_Center_distance away from stanford shopping center: does it sound good to you?
"schedule a optometrist appointment on the 7th at 2 pm with jon.  okay, scheduling a optometrist appointment with jon for the 7th at 2pm. thanks.",you're welcome
"where does my friend live? i have a listings for toms house. is that the friend you speak of? yes, thank you, please pick the shortest distance to reach him! i sent the info on your screen, drive carefully! thank you car!",you're welcome!
"search for nearby cafe i don't have any cafe's but i have coffee and tea places listed, would you like the closest one available? yes with the quickest route please. the closest shop is Cafe_Venetia_distance away with no traffic. it's called cafe venetia and is located at 269 alger drive. would you like me to set the gps? sure, thank you very much car!",you're welcome!
will there be a blizzard in seattle this week?,there is gonna be no blizzard this week in seattle
please schedule me an optometrist appointment at 2pm this week with jon.,set reminder for optometrist appointment at 2 pm this week with jon. do you know what date exactly?
"i'm taking medicine at 7pm with marie alright, setting a reminder to take medicine at 7 pm with marie. thank you.","not a problem, have a good day."
car what is the weather going to be like in the next several days where do you want to know the weather for? will it rain in inglewood this weekend?  it will not rain in inglewood this weekend. thanks a lot.,you are very welcome
get me directions to the grocery store whole foods is Whole_Foods_distance away but there is heave traffic on our way are any other grocery stores available with no Whole_Foods_traffic_info?,"no, whole foods is the only one i have listed. would you like the address anyway?"
what are the directions to the nearest chinese restaurant,the nearest chinese restaurant is panda express which is Panda_Express_distance away at 842 arrowhead way and there is no traffic.
what is the date and time of the conference the conference is at 10 am on conference_date. thank you.,no problem!
is there a philz here?,i'm sorry but there isn't any philz nearby. may i help you somehow else?
"please let me know the weather forecast for tomorrow for what city would you like to know tomorrow's forecast? durham, specifically if there will be any frost.","tomorrow's weather forecast predicts snow with a low of 60f and a high of 70f, it does not specifically say frost."
what is the weather for next week what city do you need weather information for? will it be cloudy in los angeles next week? it will be cloudy on los_angeles_tuesday in los angeles. thank you.,you are very welcome!
give me directions to my friends house,i don't see any address listed as that. do you have an alternate one?
where is the nearest gas station? there is a 76 76_distance away. what is the address?,the 76 gas station is located at 91 el camino real. it is 76_distance away through moderate traffic
directions to nearest grocery store,"the nearest restaurant is mandarin roots located at 271 springer street, Mandarin_Roots_distance away."
what's the lowest temperature in redwood city this week? it will be 30f in redwood city on redwood_city_monday. thanks.,"you're welcome, anything else?"
"locate a nearby shopping mall for me. midtown shopping center is Midtown_Shopping_Center_distance away. what is the address? midtown shopping center is at Midtown_Shopping_Center_address. thanks, set the gps there please.",gps set for midtown shopping center.
"car my friends' house should be in the area: do you see it on your map? 347 alta mesa ave, would you like me to set a route to this location? yes, please pick the shortest distance too there is a road block nearby but i sent on your screen another map to avoid it sounds good car assistant.",you are very welcome
"is it going to be raining this weekend what city should i check for rain this weekend in? los angeles, thank you! in los angeles it will be cloudy on saturday and it might snow on los_angeles_sunday, no rain thank you car!",you're welcome!
can you tell me if carson is going to be cloudy this weekend? the forecast calls for mist on carson_saturday in carson.  thank you.,you are welcome.
where is the closest hospital? stanford childrens health is Stanford_Childrens_Health_distance away. what is the address?,"899 ames ct, we're Stanford_Childrens_Health_distance away, i sent the info on your screen. anything else?!"
"give me the weekly weather forecast please tell me what city you would like the weather forecast for? menlo park is where i need to know about.  the weather in menlo park is going to be mostly rain with the highs in the 70s and lows in the 20s.  will it be dry any day? it will only be windy on menlo_park_friday, all other days have rain or drizzle. okay perfect, thanks!",no problem! have a great day.
what is the date of my swimming activity and who is attending?,"you have a swimming activity on saturday, tuesday and swimming_activity_date, which one do you want?"
is it going to rain today,what city would you like me to find out about rain in?
"get me the address of a chinese restaurant around this area. the closest chinese restaurant i have is Jing_Jing_distance away. would you like more info? no need, it will work fine, please pick a route to avoid all heavy traffic and let's go there setting gps on route to avoid all heavy traffic. thank you, what is the address?",jing jing's address is Jing_Jing_address.
locate my friend's current address for me.,i have an address for jill's house. is that the destination you are looking for?
"get me directions to the nearest coffee shop the nearest coffee shop is Coupa_distance away. would you like the name and address of it? yes, please, and also pick the route to avoid all heavy traffic",the name of the nearest coffee shop is coupa and the address is 394 van ness ave. the current Coupa_traffic_info route is now set on your gps.
car i need to get to a shopping center: please pick the quickest one around here the closest shopping center to you would be ravenswood shopping center at Ravenswood_Shopping_Center_address. i need a route with no traffic please.,i have one route with Ravenswood_Shopping_Center_traffic_info.
make me an appointment with the optometrist,"ok, making an appointment with your optometrist."
"find home address that is within the distance of 5 miles. your home is home_distance away and there is no traffic on our way, i sent its position on your screen thanks!",you're welcome and stay safe.
"show me nearby parking webster garage is 1 mile away at Webster_Garage_address but a road block is noted nearby.  can you find the quickest route to get there? i found another route, i sent it on your screen, drive carefully! thank you car!",you're very welcome.
"give me this week's high temperature in which city do you want to know the high temperatures for? in mountain view, please.",the high temperature in mountain view is 90f.
what is the forecast in my city,what city do you want the weather for?
what is the date and time i should take my medicine?,you have two medicine events scheduled. one on the 7th at 11am and the other on the 12th at 7pm.
find me a route with no traffic to the hospital.,the nearest hospital is stanford express care at Stanford_Express_Care_address.
"what's the weekly weather report for the city what city are you interested in? i am interested in redwood city. this week in redwood city shows rain, frost, snow, drizzle, fog, and overcast skies. what day will it be foggy? it will be foggy on redwood_city_friday. thank you.",anytime.
"start listening what will be the weather for the week what city are you asking about? will it be stormy in durham? there is gonna be a blizzard in durham on durham_friday, no previsions for storms thank you!",you are welcome.
check the weather forecast for what city should i check the weather forecast for? check durham.,what would you like to know about the weather in durham?
"what's the weekly forecast for cleveland it will be warm most of the week. at first, it will be foggy, then hot, then dry, then wet, then foggy, and then stormy. is that helpful? sorry, i might have misspoken. - i actually want to know what the lowest temperature will be in cleveland during the next week.",it will be 40f on cleveland_friday in cleveland.
find the shortest distance to a chinese restaurant nearby,the nearest chinese restaurant is at jing jing. want more details?
looking at the weekly forecast will in snow in los angeles? it will not snow in los angeles. thanks.,you're welcome.
set a reminder for tennis,reminder for event tennis set.
"car i need to get to some rest stop, i'm tired, please find something in the local area hotel keen is Hotel_Keen_distance away. what is the address?",hotel keen is at Hotel_Keen_address.
confirm that the meeting for the 12th this month is on at approximately 5 pm,yes i'm confirmed your meeting for 5pm the 12th of this month
what is the weather in new york city what can i tell you about the weather in new york? i'd like to know the weather overcast in the next weekend it will be overcast on new_york_sunday for this weekend in new york.  thank you car!,you're very welcome!
search for nearby cafe,we're Teavana_distance away from teavana with heavy traffic on its direction but i'm afraid this is the best option
what's the weather like today and tomorrow for what city would you like to know today and tomorrow's forecast for? i need to know this information for grand rapids.,"in grand rapids, it will be rainy today between 90-100f and nowy tomorrow between 60-80f."
is there a philz here? i'm sorry but there isn't any philz nearby. may i help you somehow else?  any other coffee? there are cafe venetia and palo alto cafe Palo_Alto_Cafe_distance away. the last one should be faster to reach because there is no traffic on our way ok let's go to palo alto then.,"okay, heading to palo alto cafe at Palo_Alto_Cafe_address"
is it gonna rain during the next week in boston?,"no, it's not gonna rain in boston during the next week"
where does my friend live?,"you have two friends listed; jill and tom, which one?"
where is the nearest rest stop?,the closeest rest stop is comfort inn which is 1 mile away.
"please let me know the weather forecast for tomorrow where would you like to hear the forecast from? fresno, please it will rain tomorrow and be between 90-100f in fresno. thanks.",no problem!
"directions to local cafe there is starbucks Starbucks_distance away with heavy traffic and philz 3 miles away with moderate traffic pick the one with the shortest distance please starbucks at Starbucks_address, there is heavey traffic, would you like the route information? yes please set the navigation. thanks.",you're welcome. have a good day.
schedule a lab appointment with my aunt for the 7th at 1pm. your lab appointment with your aunt for the 7th at 1pm has been promptly scheduled!  thanks!,you are welcome.
"what's the weather forecast going to be for each day this upcoming week is it going to snow where are you wanting to know the snow forecast for? new york, please.",snow is predicted in new york on new_york_tuesday of this upcoming week.
what's the weather like this week,which city would you like the weekly weather forecast for?
"give me directions to a coffee place navigating to cafe venetia. please pick the fastest route and bring me there, thank you! i only have one listed and it's got Cafe_Venetia_traffic_info. do you still want to go there? i guess, what is the address? cafe venetia is located at Cafe_Venetia_addressive.  pick the fastest route for me car, thank you!",setting your gps for the fastest route to cafe venetia  now.
"get me the weather forecast for the next 7 days for what city would you like the weather forecast for the next 7 days? i need the 7 day forecast for danville.  in danville is gonna be overcast on monday, hail on tuesday, overcast again on wednesday, foggy on thrusday, misty on friday, stormy on saturday, snow on danville_sunday thanks.",you are welcome.
"what's the temperature outside like today for which city would you like to know this? manhattan please its a hot one today, the temperature in manhattan is predicted to be warm with a high of 100f great, thank you",happy to help
"find a chinese take-out spot near my location. there is jing jing, panda express, and p.f. changs. which has the least traffic?",in this moment there is P.F._Changs_traffic_info towards p.f. changs and palo alto medical foundation
"is there a philz here? i do not have a philz listed at this moment. is there something else i could help you with? some other coffee. cafe venetia and coupa are near. then pick the quickest way to cafe venetia, i desire some italian style espresso coffee! taking you to cafe venetia. thanks, sound great.",you're welcome.
give me the closest fast food restaurant,i do not have a listing for any fast food places but i do have a pizza restaurant that is Pizza_Hut_distance away. would you like more info on it?
"car my friends' house should be in the area: do you see it on your map? 347 alta mesa ave, would you like me to set a route to this location? yes, please pick the shortest distance too",there is a road block nearby but i sent on your screen another map to avoid it
add the football game to my calendar,what time is the football game?
"where's the nearest place to get a hot cup of tea there is coupa Coupa_distance away, i heard they make an excellent tea! can you get me the fastest route please?","coupa is only 1 mile away but it has Coupa_traffic_info, will that be alright?"
"what's the weather forecast in new york new york is forecasted to be windy with a low of 60f and a high of 80f. okay, will it be humid in new york next week?",it will not be humid in new york next week.
who is attending my swimming activity and when is it?,"which one? i am seeing two, one with aunt on swimming_activity_date at 5pm, and one with mother on the 20th at 1pm."
"will it be cloudy in los angeles on los_angeles_thursday? it's not gonna be cloudy in los angeles on los_angeles_thursday, the weather forecast calls for hail thank you",you are welcome.
is it going to snow in the next week what city would you like this information on? will it snow in menlo park?,it will not be snowing in menlo park this week!
what is the current temperature,what city do you want to know the temperature for?
i have a dinner on tuesday what time is your dinner on tuesday? it is at 3pm okay i will set a reminder for dinner on tuesday at 3 pm. the dinner will be with jon.,"alright, jon will be there."
"where is my conference, what is it about, and what day is it.",you have a conference on the 10th and a conference on conference_date.  both are in conference room 100 and are to discuss the merger.
get the address to my friend's house that i could get to the fastest.,tom or jack?
"what is the weather for today what city do you want the weather for? downtown chicago in chicago, it should be 40-50f and snowing today. thank you so much car!",you are welcome!
what will the weather be like in the city,in what city would you like the weather information for?
what time is my swimming lessons this afternoon,your swimming lessons are at 3pm today.
set a reminder for dinner at 1pm on the 10th with my father.,reminder set for dinner on the 10th at 1pm with my father
"take me home.  setting navigation to 5671 barringer st, home_distance away.  please avoid all heavy traffic if possible.",setting navigation to home now.
"what's the weather forecast in new york what information can i give you about new york's weather? i need to know what the lowest temperature will be in new york in the next few days. it will be 30f on new_york_wednesday in new york. thank you so much, let's hope it won't be rainy..",i hope so too!
"directions to the grocery store navigating you to safeway. make sure to give me the fastest route please.  there is Safeway_traffic_info on our way and you should be able to reach in just few minutes ok, what is the address and how close is it? safeway is Safeway_distance away at 452 arcadia pl. do you need me to set gps? yes, please, and thank you!","i set the gps for you, drive carefully!"
