,inputs,outputs,predictions
1290,take me to a chinese restaurant,there is a panda express 1 mile away. would you like the address to it?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> would like like do you <unk> <eos>
1291,take me to a chinese restaurant there is a panda express 1 mile away. would you like the address to it? yes please give me the details of this location,"panda express is located at Panda_Express_address, 1 mile away.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> panda express is located at Panda_Express_address 1 mile away <eos>
1292,"take me to a chinese restaurant there is a panda express 1 mile away. would you like the address to it? yes please give me the details of this location panda express is located at Panda_Express_address, 1 mile away.  please give me the fastest route.",there is Panda_Express_traffic_info now but you should be able to get there in a few minutes,<pad> <pad> <pad> there is Panda_Express_traffic_info now but you should be able to get there in a few minutes <eos>
1293,"take me to a chinese restaurant there is a panda express 1 mile away. would you like the address to it? yes please give me the details of this location panda express is located at Panda_Express_address, 1 mile away.  please give me the fastest route.  there is Panda_Express_traffic_info now but you should be able to get there in a few minutes please direct me there. thanks.",navigating to Panda_Express_address now.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> navigating to Panda_Express_address now <eos>
1294,can you give me the weather this week for new york city,"this week in new york is predicted to be dry, clear skies, with a blizzard, windy and rain.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> should highest being 100f on skies 40f and a windy of rain <eos>
1295,"can you give me the weather this week for new york city this week in new york is predicted to be dry, clear skies, with a blizzard, windy and rain. will it drizzle in new york this week tho?",the isn't any drizzle predicted to fall in new york this week.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> the isn't any drizzle predicted to fall in new york this week <eos>
1296,"can you give me the weather this week for new york city this week in new york is predicted to be dry, clear skies, with a blizzard, windy and rain. will it drizzle in new york this week tho? the isn't any drizzle predicted to fall in new york this week. okay, thanks!",you're welcome.,<pad> <pad> <pad> overcast <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
1297,will it be hail in cleveland on cleveland_sunday?,there will not be hail in cleveland on cleveland_sunday.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will the be hail in cleveland on cleveland_sunday <eos>
1298,will it be hail in cleveland on cleveland_sunday? there will not be hail in cleveland on cleveland_sunday.  thank you very much car!,no problem.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> problem no problem <eos>
1299,show me the route to coffee shop,there is 2 coffee shops locally; one is philz that's 2 miles away and starbucks that is Starbucks_distance away. which do you prefer?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the sorry you which address on <unk> <eos>
1300,show me the route to coffee shop there is 2 coffee shops locally; one is philz that's 2 miles away and starbucks that is Starbucks_distance away. which do you prefer? pick the one with Starbucks_traffic_info or the least traffic route.,"there is Starbucks_traffic_info to starbucks, navigating now.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there is Starbucks_traffic_info to starbucks navigating now <eos>
1301,"show me the route to coffee shop there is 2 coffee shops locally; one is philz that's 2 miles away and starbucks that is Starbucks_distance away. which do you prefer? pick the one with Starbucks_traffic_info or the least traffic route. there is Starbucks_traffic_info to starbucks, navigating now. thank you car!",you're very welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're very <unk> <eos>
1302,what day and time did i schedule my blood test for,monday at 2pm,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> scheduled <pad> <pad> <pad> <pad> <pad> monday at 2pm <eos>
1303,what date is my dentist appointment and who is attending?,you have two dentist appointments; one on dentist_appointment_date with jon and one on the 18th with ana.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your with one one on the 18th with ana <eos>
1304,what date is my dentist appointment and who is attending? you have two dentist appointments; one on dentist_appointment_date with jon and one on the 18th with ana.  thanks for your help.,my pleasure.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> my pleasure <eos>
1305,what is the weather like in boston,what day are you interested in?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> city do you want the boston's <unk> <eos>
1306,what is the weather like in boston what day are you interested in? today and tomorrow.,it will be between 40-50f on monday and 20-40f on boston_tuesday in boston.,<pad> <pad> <pad> <pad> <pad> <pad> it will be between <unk> on monday and <unk> on boston_tuesday in boston <eos>
1307,what is the weather like in boston what day are you interested in? today and tomorrow. it will be between 40-50f on monday and 20-40f on boston_tuesday in boston. thank you!,happy to help,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're help <eos>
1308,car i'm desiring some tea,we're Coupa_distance away from coupa and there is also teavana 4 miles away: which one do you prefer?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> which one do you <unk> <eos>
1309,car i'm desiring some tea we're Coupa_distance away from coupa and there is also teavana 4 miles away: which one do you prefer? i want the route that is the quickest and has the least traffic,"then i suggest you coupa, it's only Coupa_distance away and with no traffic on our way. would you like me to set the navigation there?",<pad> Coupa_distance away and with no traffic on our way would you like me to set the navigation <unk> <eos>
1310,"car i'm desiring some tea we're Coupa_distance away from coupa and there is also teavana 4 miles away: which one do you prefer? i want the route that is the quickest and has the least traffic then i suggest you coupa, it's only Coupa_distance away and with no traffic on our way. would you like me to set the navigation there? yes, set the navigation to coupa please.","i sent all the directions on your screen, enjoy your trip!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i sent all the directions on your screen enjoy your <unk> <eos>
1311,"car i'm desiring some tea we're Coupa_distance away from coupa and there is also teavana 4 miles away: which one do you prefer? i want the route that is the quickest and has the least traffic then i suggest you coupa, it's only Coupa_distance away and with no traffic on our way. would you like me to set the navigation there? yes, set the navigation to coupa please.  i sent all the directions on your screen, enjoy your trip! thank you car!",you are welcome driver!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <unk> <eos>
1312,what time is my meeting scheduled,your meeting is on meeting_date at 10am,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> do is is at at meeting_time <eos>
1313,it's gonna be cloudy in oakland in next few days?,it will be cloudy in oakland on oakland_tuesday.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it will be cloudy in oakland on oakland_tuesday <eos>
1314,it's gonna be cloudy in oakland in next few days? it will be cloudy in oakland on oakland_tuesday.  thank you car!,you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
1315,i have yoga on saturday with marie.,and what time should i schedule it for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> set time should i schedule it <unk> <eos>
1316,i have yoga on saturday with marie.  and what time should i schedule it for?  at 9 am on saturday.,no problem,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no problem <eos>
1317,will there be frost in durham next week?,there won't be frost in durham during the next week,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will in the frost during the next week <eos>
1318,will there be frost in durham next week? there won't be frost in durham during the next week thank you.,you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
1319,what will the highest temperature in seattle be today?,there will be a high temperature of 50f today in seattle.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you high temperature of 50f today in seattle <eos>
1320,what will the highest temperature in seattle be today? there will be a high temperature of 50f today in seattle. thank you car!,you are very welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are very welcome <eos>
1321,can you give me directions to the nearest hotel,the westin is at The_Westin_address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> away whole foods the a is block nearby <eos>
1322,"can you give me directions to the nearest hotel the westin is at The_Westin_address. thank you, please pick a route with no traffic and let's go there!",going to the westin.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> going to the westin <eos>
1323,"can you give me directions to the nearest hotel the westin is at The_Westin_address. thank you, please pick a route with no traffic and let's go there! going to the westin. thank you!",you're welcome. glad i could help.,<pad> a <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome glad i could help <eos>
1324,what will the lowest temperture be in downtown chicago next week?,next week the lowest temperature will be 20f in downtown chicago,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> week is lowest temperature will be 20f in downtown chicago <eos>
1325,"what will the lowest temperture be in downtown chicago next week? next week the lowest temperature will be 20f in downtown chicago great, thank you for helping me out.",happy to help,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> happy to help <eos>
1326,find the nearest shopping mall on the map,we are Ravenswood_Shopping_Center_distance away from ravenswood shopping center: would you like me to send its address on your map?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> and restaurant is its address on your <unk> <eos>
1327,find the nearest shopping mall on the map we are Ravenswood_Shopping_Center_distance away from ravenswood shopping center: would you like me to send its address on your map? sounds perfect.,ravenswood shopping center is located at 434 arastraero road.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> ravenswood shopping center is located at 434 arastraero road <eos>
1328,find the nearest shopping mall on the map we are Ravenswood_Shopping_Center_distance away from ravenswood shopping center: would you like me to send its address on your map? sounds perfect.  ravenswood shopping center is located at 434 arastraero road.  thanks set the gps please.,setting gps to destination; there is currently Ravenswood_Shopping_Center_traffic_info on the route.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> setting gps to <unk> there is currently Ravenswood_Shopping_Center_traffic_info on the route <eos>
1329,"find the nearest shopping mall on the map we are Ravenswood_Shopping_Center_distance away from ravenswood shopping center: would you like me to send its address on your map? sounds perfect.  ravenswood shopping center is located at 434 arastraero road.  thanks set the gps please.  setting gps to destination; there is currently Ravenswood_Shopping_Center_traffic_info on the route.  thank you, car.",you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
1330,is there a philz here?,i do not have a philz listed at this moment. is there something else i could help you with?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i it teavana or <unk> <eos>
1331,is there a philz here? i do not have a philz listed at this moment. is there something else i could help you with? some other coffee.,cafe venetia and coupa are near.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> cafe venetia and coupa are near <eos>
1332,"is there a philz here? i do not have a philz listed at this moment. is there something else i could help you with? some other coffee. cafe venetia and coupa are near. then pick the quickest way to cafe venetia, i desire some italian style espresso coffee!",taking you to cafe venetia.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> taking you to cafe venetia <eos>
1333,"is there a philz here? i do not have a philz listed at this moment. is there something else i could help you with? some other coffee. cafe venetia and coupa are near. then pick the quickest way to cafe venetia, i desire some italian style espresso coffee! taking you to cafe venetia. thanks, sound great.",you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
1334,what time is my lab appointment and what party is attending?,you have two lab appointments scheduled. one is at 1pm with jon and the other is at 7pm with your lab_appointment_party.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> mean other is at is with your lab_appointment_party <eos>
1335,schedule yoga appointment,for what date and time should i set a reminder for your yoga appointment?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you you your yoga <unk> <eos>
1336,what will the weather be like in the city,what city are you wanting the weather for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the high do you wanting the information <unk> <eos>
1337,what will the weather be like in the city what city are you wanting the weather for? will it be foggy in exeter over the next 7 days?,the forecast for exeter calls for clouds on exeter_saturday.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the forecast for exeter calls for clouds on exeter_saturday <eos>
1338,what will the weather be like in the city what city are you wanting the weather for? will it be foggy in exeter over the next 7 days? the forecast for exeter calls for clouds on exeter_saturday.  thanks.,you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
1339,where can i find a hospital?,one hospital is located locally at 214 el camino real. there is a car collision nearby. do you still want to go?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there would still want to <unk> <eos>
1340,"where can i find a hospital? one hospital is located locally at 214 el camino real. there is a car collision nearby. do you still want to go? yes, thank you.",anytime.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> anytime <eos>
1341,is it gonna be hail in mountain view now?,is it actually stormy in mountain view now,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> view actually stormy in mountain view now <eos>
1342,is it gonna be hail in mountain view now? is it actually stormy in mountain view now thank you car!,anytime,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> anytime <eos>
1343,schedule a conference with the vice president on august 14th at 10am.,reminder set for conference with vice president at 10 am on august 14th.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> scheduled scheduling conference with vice president at 10 am on august 14th <eos>
1344,schedule a conference with the vice president on august 14th at 10am. reminder set for conference with vice president at 10 am on august 14th. thanks car.,you are very welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are very welcome <eos>
1345,"what is the date, time, and agenda of my next conference?",your next conference is on conference_date at 4pm to discuss the merger.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your next at at pm to discuss the merger <eos>
1346,"what is the date, time, and agenda of my next conference? your next conference is on conference_date at 4pm to discuss the merger. thank you.",you're welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
1347,remind me to pick up lab results,at what time do you need to pick up results,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> do i need to pick up results <eos>
1348,i need a route to the hospital with no traffic.,although there isn't any traffic there is a car collision nearby stanford express care hospital. it is currently Stanford_Express_Care_distance away,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> express care hospital it is currently Stanford_Express_Care_distance away <eos>
1349,i need a route to the hospital with no traffic.  although there isn't any traffic there is a car collision nearby stanford express care hospital. it is currently Stanford_Express_Care_distance away please send its position on my screen. thank you car!,stanford express care is at Stanford_Express_Care_address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> stanford express care is at Stanford_Express_Care_address <eos>
1350,i need a route to the hospital with no traffic.  although there isn't any traffic there is a car collision nearby stanford express care hospital. it is currently Stanford_Express_Care_distance away please send its position on my screen. thank you car! stanford express care is at Stanford_Express_Care_address.  thank you,you're welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
1351,"car i wanna eat at some chinese restaurant: please pick a route with least traffic, better if there will be no traffic at all",tai pan is 1 mile away.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> tai pan is 1 mile away <eos>
1352,"car i wanna eat at some chinese restaurant: please pick a route with least traffic, better if there will be no traffic at all tai pan is 1 mile away. what is the address?",tai pan is located at 830 almanor lane,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> tai pan is located at 830 almanor lane <eos>
1353,"car i wanna eat at some chinese restaurant: please pick a route with least traffic, better if there will be no traffic at all tai pan is 1 mile away. what is the address? tai pan is located at 830 almanor lane okay great. could i have some details about the traffic there?",there is moderate traffic on our way but since it's just tai_pan_distance away it shouldn't take too long to reach,the moderate route on our way but since it's just tai_pan_distance away it shouldn't take too long to reach <eos>
1354,"car i wanna eat at some chinese restaurant: please pick a route with least traffic, better if there will be no traffic at all tai pan is 1 mile away. what is the address? tai pan is located at 830 almanor lane okay great. could i have some details about the traffic there? there is moderate traffic on our way but since it's just tai_pan_distance away it shouldn't take too long to reach sounds great, thank you.",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
1355,get me directions to the nearest chinese restaurant,tai_pan_distance away there is road block nearby the tai pan chinese restaurant located at 830 almanor ln,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> pan the there and there address almanor position <eos>
1356,"get me directions to the nearest chinese restaurant tai_pan_distance away there is road block nearby the tai pan chinese restaurant located at 830 almanor ln ok, please direct me there via a route that avoids all heavy traffic if possible.","there is a road block in the area, but we drive around that.",<pad> <pad> <pad> <pad> <pad> <pad> there is a road block in the area but we drive around that <eos>
1357,"get me directions to the nearest chinese restaurant tai_pan_distance away there is road block nearby the tai pan chinese restaurant located at 830 almanor ln ok, please direct me there via a route that avoids all heavy traffic if possible.  there is a road block in the area, but we drive around that.  please display the route on the gps",gps set. have a great day.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> gps set have a great day <eos>
1358,give me directions to the nearest mall,the nearest  mall is town and country. it is on Town_and_Country_address,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you <pad> would you no and Town_and_Country_address <eos>
1359,give me directions to the nearest mall the nearest  mall is town and country. it is on Town_and_Country_address how far is it and is there any traffic?,"town and country is Town_and_Country_distance away with moderate traffic, should i plot a route?",<pad> <pad> <pad> <pad> <pad> town and country is Town_and_Country_distance away with moderate traffic should i plot a <unk> <eos>
1360,"give me directions to the nearest mall the nearest  mall is town and country. it is on Town_and_Country_address how far is it and is there any traffic? town and country is Town_and_Country_distance away with moderate traffic, should i plot a route? pick the quickest available and let's go, thank you car!",i sent the route on your screen. you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i sent the route on your screen you're <unk> <eos>
1361,remind me about that meeting later,what day and time is the meeting?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> like and when is your <unk> <eos>
1362,"remind me about that meeting later what day and time is the meeting? at 7 pm, this tuesday with hr to discuss the merger.",i have set a reminder for tuesday at 7 pm to discuss the. merger with hr,<pad> <pad> <pad> i have set a reminder for tuesday at 7 pm to discuss the merger with hr <eos>
1363,"remind me about that meeting later what day and time is the meeting? at 7 pm, this tuesday with hr to discuss the merger. i have set a reminder for tuesday at 7 pm to discuss the. merger with hr thank you",you are very welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are very welcome <eos>
1364,make an appointment for me to get my laboratory results later this week,what day and time are best for you to get your laboratory results?,<pad> <pad> <pad> <pad> <pad> <pad> what day and time are best would you you get your <unk> scheduled <eos>
1365,make an appointment for me to get my laboratory results later this week what day and time are best for you to get your laboratory results? at 7 pm on august the 12th,setting appointment for laboratory results for august 12th at 7pm.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> setting appointment for laboratory results for august 12th at 7pm <eos>
1366,make an appointment for me to get my laboratory results later this week what day and time are best for you to get your laboratory results? at 7 pm on august the 12th  setting appointment for laboratory results for august 12th at 7pm.  that will be all for now. thank you,you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
1367,who is attending dinner and what time is it?,you have two dinners scheduled. one at 6pm with your sister and one at 8pm with dinner_party. would you like to know the dates?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> on on would you like to know the <unk> <eos>
1368,can you set a reminder for yoga activity at 9 am this week with father?,i will set a reminder for your yoga activity this week with your father at 9 am.,<pad> <pad> <pad> <pad> i will set for reminder yoga activity this week with your father at 9 am <eos>
1369,what is the weather forecast for the weekend,which city would you like the weekend forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> like you are weekend forecast <unk> <eos>
1370,what is the weather forecast for the weekend which city would you like the weekend forecast for? i am trying to find out if it will be warm in oakland this week,in oakland it will be warm on oakland_thursday,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> in oakland it will be warm on oakland_thursday <eos>
1371,what is the weather forecast for the weekend which city would you like the weekend forecast for? i am trying to find out if it will be warm in oakland this week  in oakland it will be warm on oakland_thursday thank you!,you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
1372,"schedule a meeting at 1pm, this month on the 11th with boss to discuss dress code.","i will schedule a meeting at 1pm, this month on the 11th with boss to discuss dress code.",<pad> <pad> <pad> of the meeting at 1pm this month on the 11th with boss to discuss dress code <eos>
1373,"schedule a meeting at 1pm, this month on the 11th with boss to discuss dress code.  i will schedule a meeting at 1pm, this month on the 11th with boss to discuss dress code.  thanks.",you are always welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are always welcome <eos>
1374,check the weather for the 7 day forecast,what city would you like to hear the 7 day weather forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i retrieve the day day forecast <unk> <eos>
1375,"check the weather for the 7 day forecast what city would you like to hear the 7 day weather forecast for? i need to know if it is going to be raining in the next 7 days, for grand rapids.","it will be raining on monday, saturday, and grand_rapids_sunday in grand rapids this week.",<pad> <pad> <pad> <pad> <pad> it will be raining on monday saturday and grand_rapids_sunday in grand rapids this week <eos>
1376,"check the weather for the 7 day forecast what city would you like to hear the 7 day weather forecast for? i need to know if it is going to be raining in the next 7 days, for grand rapids.  it will be raining on monday, saturday, and grand_rapids_sunday in grand rapids this week. thanks.",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
1377,can you give me directions to the nearest hotel,the nearest one is comfort inn Comfort_Inn_distance away. there is also a road block nearby,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> whole away also at road block The_Westin_address <eos>
1378,"can you give me directions to the nearest hotel the nearest one is comfort inn Comfort_Inn_distance away. there is also a road block nearby ok, please give me the address and directions via a quick route.",setting navigation to the comfort inn at Comfort_Inn_address now.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> setting navigation to the comfort inn at Comfort_Inn_address now <eos>
1379,"can you give me directions to the nearest hotel the nearest one is comfort inn Comfort_Inn_distance away. there is also a road block nearby ok, please give me the address and directions via a quick route.  setting navigation to the comfort inn at Comfort_Inn_address now.  thank you car!","you're welcome; drive safely, and sleep well.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> drive safely and sleep well <eos>
1380,i need to schedule yoga with martha.,what time shall i set the reminder for yoga with martha?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> would you reminder is yoga with <unk> <eos>
1381,i need to schedule yoga with martha.  what time shall i set the reminder for yoga with martha? set it for 9 am on the tenth please.,"okay, setting a reminder for your yoga activity with martha at 9 am on the 10th.",<pad> <pad> <pad> okay setting a reminder for your yoga activity with martha at 9 am on the 10th <eos>
1382,"i need to schedule yoga with martha.  what time shall i set the reminder for yoga with martha? set it for 9 am on the tenth please.  okay, setting a reminder for your yoga activity with martha at 9 am on the 10th. thanks a bunch.",you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
1383,"i need to schedule yoga with martha.  what time shall i set the reminder for yoga with martha? set it for 9 am on the tenth please.  okay, setting a reminder for your yoga activity with martha at 9 am on the 10th. thanks a bunch. you are welcome i want to double check. when is my yoga appointment with martha?",it is at 9 am on the 10th.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it is at 9 am on the 10th <eos>
1384,"hello, can you set the schedule for an optometrist appointment at 10am, on thursday, with marie, please and thank you.","i will set a schedule for an optometrist appointment at 10am, on thursday, with marie.",<pad> <pad> <pad> <pad> i will set a schedule for an optometrist appointment at 10am on thursday with marie <eos>
1385,"hello, can you set the schedule for an optometrist appointment at 10am, on thursday, with marie, please and thank you.  i will set a schedule for an optometrist appointment at 10am, on thursday, with marie. thanks",you're welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
1386,is it going to be humid in danville on danville_saturday?,it will not be humid in danville on danville_saturday.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it will if be humid in danville on danville_saturday <eos>
1387,is it going to be humid in danville on danville_saturday? it will not be humid in danville on danville_saturday.  thank you.,anytime,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> anytime <eos>
1388,is it currently windy in fresno?,it is currently cloudy in fresno - i do not have wind data.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> do weather have wind data <eos>
1389,is it currently windy in fresno? it is currently cloudy in fresno - i do not have wind data. thanks.,anytime!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <unk> <eos>
1390,is there any rain in the local forecast,what city do you want the rain forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> safeway <pad> <pad> the going to <unk> <eos>
1391,"is there any rain in the local forecast what city do you want the rain forecast for? for compton, will it rain on compton_wednesday?",it should not rain in compton on compton_wednesday.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it should not rain in compton on compton_wednesday <eos>
